query_id	query_string	domain_id
query1652	EXAMPLE_OF(grandparent)	GOV
query1178	poultry+	GOV
query498	EXAMPLE_OF(ocean)	GOV
query4144	"salary increase"+	GOV
query1214	"the eye"+	GOV
query4139	"white clothing"+	GOV
query4000	"combating malaria"+	GOV
query1331	EXAMPLE_OF(geometric shapes)	GOV
query3481	EXAMPLE_OF(major appliances)	GOV
query3217	EXAMPLE_OF(courts)	GOV
query4154	"accident insurance"+	GOV
query4137	"child vaccination"+	GOV
query2032	"women's soccer"+	GOV
query3292	EXAMPLE_OF(car fuels)	GOV
query4148	"selling cows"+	GOV
query1521	seminar	LIF
query3524	black[syn:dark],color[syn:hue]	LIF
query1030	"under the bed"	LIF
query1721	afternoon	LIF
query1495	pregnant[evf:child birth],neighbor	LIF
query2933	increase[syn:become greater],price[syn:monetary value]	LIF
query3647	cashew[hyp:nut]	LIF
query1865	entrepreneurship	LIF
query2017	lawyer	LIF
query993	speech,death	LIF
query1598	elephant	LIF
query2725	chemist	LIF
query2731	bacteria	LIF
query2959	finally[syn:eventually],Bukoba	LIF
query1745	Nyanza,country	LIF
query1974	mirror[syn:reflector]	LIF
query988	"police report"	LIF
query1985	shadow[syn:shade]	LIF
query2447	"cultural heritage"	LIF
query1707	warning,catalog	LIF
query3120	"shoulder to shoulder"	LIF
query1960	gun[hyp:weapon],defense[syn:protection]	LIF
query3215	<predecessors>	LIF
query2498	fisherman	LIF
query3583	"beautiful girl",Kenya	LIF
query2031	property[evf:land],bank	LIF
query3390	green[hyp:color]	LIF
query1868	fraudulent	LIF
query1683	kilometer	LIF
query1858	"national symbol"	LIF
query2956	<potatoes>	LIF
query3748	stalk[syn:pursue stealthily]	LIF
query4183	recently[syn:not long ago],visit[syn:trip]	LIF
query3008	coordinator,celebration	LIF
query1719	back[evf:anatomy]	LIF
query1491	delicate	LIF
query1984	"the American dream"	LIF
query1036	rat[hyp:animal]	LIF
query982	"living with diabetes"	LIF
query728	"guest of honor"	LIF
query3736	<fugitives>[syn:person escaping from the law or pursuer]	LIF
query984	sugar[hyp:sweetener]	LIF
query2003	vitamin	LIF
query3309	name[hyp:given name],girl[hyp:person]	LIF
query1713	bread[hyp:food]	LIF
query4040	cheese[hyp:dairy by-product]	LIF
query1501	spit[syn:expectorate]	LIF
query1714	body[evf:anatomy],respect	LIF
query1693	banana[hyp:fruit]	LIF
query1853	furniture	LIF
query2006	potassium	LIF
query3612	finger[evf:anatomy]	LIF
query3590	govern[syn:reign],flag[syn:banner]	LIF
query3366	<inherited>	LIF
query1146	bible[evf:religion]	LIF
query3500	"<woke up> in the morning"	LIF
query1670	title[syn:heading],return	LIF
query1951	nosebleed	LIF
query1672	twin[hyp:person]	LIF
query1989	fireworks	LIF
query2958	<albino>[hyp:person]	LIF
query2971	<smokers>[evf:tobacco]	LIF
query1691	king[syn:monarch],song	LIF
query3397	prostitution[syn:whoredom]	LIF
query4286	"braid hair"	LIF
query1941	wall	LIF
query3288	comb[hyp:toiletry]	LIF
query2899	militia	LIF
query2976	"State house"[syn:presidential residence]	LIF
query1023	letter,condolences	LIF
query2023	institution[hyp:organization],seminar	LIF
query3159	club[syn:league],entertainment	LIF
query1728	"temporary work"	LIF
query3018	axe[evf:tool]	LIF
query1864	interpreter	LIF
query1340	court[evf:law]	LIF
query1688	bucket[hyp:container]	LIF
query1866	editor	LIF
query1519	well[hyp:water source],village	LIF
query1871	"Chinese culture"	LIF
query1729	e-mail	LIF
query3934	smell[syn:odor]	LIF
query1885	talent[syn:ability],artist	LIF
query1718	clap[syn:applaud]	LIF
query1681	license[hyp:permission]	LIF
query1230	spoon[hyp:utensils]	LIF
query3402	decorate[syn:beautify],lady[syn:woman]	LIF
query3636	"private part"[evf:genitalia]	LIF
query3113	breakfast	LIF
query2503	kitchen	LIF
query3290	desk[hyp:furniture]	LIF
query1993	gasoline	LIF
query4047	emotion[syn:mental state],forgiveness[syn:pardon]	LIF
query3041	friend[hyp:person],farm[syn:cultivated land]	LIF
query716	strengthen,bond	LIF
query1785	window	LIF
query3517	"bid for"[syn:tender for]	LIF
query1338	debt,debate	LIF
query3977	hub[syn:focal point],commerce[syn:buying and selling]	LIF
query701	healthcare	LIF
query4001	"labor force"[hyp:employment],percentage	LIF
query1335	"bring change"	LIF
query2025	"agricultural policy"	LIF
query1982	makeup[syn:cosmetics]	LIF
query1725	sister[hyp:sibling],morning	LIF
query1496	media+,English	LIF
query1487	money+,Kikuyu	LIF
query409	business+[syn:commerce],poverty	LIF
query1520	attack+,Facebook	LIF
query1040	slavery+,donkey[hyp:animal]	LIF
query2024	beauty+,scissors	LIF
query3747	cell[evf:biology],stigma+	LIF
query3758	flood[syn:inundation],assistance+	LIF
query1887	China,manufacturing+[hyp:industry]	LIF
query3903	defense,relative+	LIF
query1921	Kagera,"natural disaster"+	LIF
query4275	"fight for justice"[syn:fight for fairness],legal+	LIF
query1018	fast+[syn:abstain],Ramadan	LIF
query3784	peanut,snack+	LIF
query1918	"Chama cha Mapinduzi",mining+[syn:excavation]	LIF
query3345	alcohol,driving+[syn:operating motor vehicle]	LIF
query3692	colors+[syn:pigment],bolt[syn:screw]	LIF
query3737	abroad[syn:overseas],laborer+	LIF
query743	"social media"+,"university student"	LIF
query1977	dermatology+,juice[evf:fruit extract]	LIF
query1950	witchcraft+,lizard[hyp:animal]	LIF
query3721	orphan,school+	LIF
query1782	Mwanza,fishing+	LIF
query1568	Sumbawanga,hospital+	LIF
query2011	peace+[syn:harmony],Muslim	LIF
query3950	"industrial sector","economic problem"+	LIF
query1779	Morogoro,banking+	LIF
query4366	egg[hyp:food],nutrition+	LIF
query4131	Temeke,"living standard"+	LIF
query3805	customs[hyp:government agency],merchandise+	LIF
query1219	EXAMPLE_OF(branches of government)	LIF
query1332	EXAMPLE_OF(rooms of a house)	LIF
query1744	AIDS+[hyp:disease]	LIF
query3418	EXAMPLE_OF(parking facility)	LIF
query2630	"election do-over"+	LIF
query3060	EXAMPLE_OF(dairy product)	LIF
query4162	sanitation+[syn:cleanliness]	LIF
query4160	"skin bleaching"+	LIF
query3201	EXAMPLE_OF(root vegetable)	LIF
query3054	EXAMPLE_OF(passenger aircraft)	LIF
query3604	EXAMPLE_OF(citrus fruit)	LIF
query4177	"birth control"+	LIF
query2622	"amending the constitution"+	LIF
query1967	chemicals+,mango[hyp:fruit]	LIF
query4309	lorry[syn:truck],life+[syn:existence]	LIF
